SampleID	Trait
IRIS_313.11006	0
IRIS_313.11712	0
IRIS_313.11149	0
IRIS_313.10433	0
IRIS_313.11738	0
IRIS_313.10859	0
IRIS_313.11586	0
IRIS_313.8622	0
IRIS_313.12018	0
IRIS_313.10974	0
IRIS_313.11876	0
IRIS_313.11982	0
IRIS_313.9533	0
IRIS_313.10849	0
IRIS_313.11039	0
IRIS_313.11389	0
IRIS_313.11968	0
IRIS_313.11826	0
IRIS_313.11855	0
IRIS_313.11860	0
IRIS_313.11859	0
IRIS_313.9184	0
IRIS_313.11791	0
IRIS_313.10739	0
IRIS_313.11785	0
IRIS_313.8595	0
IRIS_313.11040	0
IRIS_313.11242	0
IRIS_313.11167	0
IRIS_313.10514	0
IRIS_313.11565	0
IRIS_313.10602	0
IRIS_313.8745	0
IRIS_313.8381	0
IRIS_313.10099	0
IRIS_313.12297	0
IRIS_313.10502	0
IRIS_313.9271	0
IRIS_313.10902	0
IRIS_313.10970	0
IRIS_313.11228	0
IRIS_313.11409	0
IRIS_313.11249	0
IRIS_313.10648	0
IRIS_313.9558	0
IRIS_313.11885	0
IRIS_313.11353	0
IRIS_313.11461	0
IRIS_313.10082	0
IRIS_313.9566	0
IRIS_313.11815	0
IRIS_313.10753	0
IRIS_313.8410	0
IRIS_313.12146	0
IRIS_313.9032	0
IRIS_313.11510	0
IRIS_313.10947	0
IRIS_313.11323	0
IRIS_313.11754	0
IRIS_313.10732	0
IRIS_313.9778	0
IRIS_313.10560	0
IRIS_313.9708	0
IRIS_313.11935	0
IRIS_313.9140	0
IRIS_313.11126	0
IRIS_313.12004	0
IRIS_313.11035	0
IRIS_313.10953	0
IRIS_313.11597	0
IRIS_313.8998	0
IRIS_313.9297	0
IRIS_313.11165	0
IRIS_313.10562	0
IRIS_313.10749	0
IRIS_313.9409	0
IRIS_313.11966	0
IRIS_313.11020	0
IRIS_313.12059	0
IRIS_313.11425	0
IRIS_313.9725	0
IRIS_313.10975	0
IRIS_313.11747	0
IRIS_313.11026	0
IRIS_313.8412	0
IRIS_313.10065	0
IRIS_313.10704	0
IRIS_313.11651	0
IRIS_313.9682	0
IRIS_313.10035	0
IRIS_313.12258	0
IRIS_313.11994	0
IRIS_313.8559	0
IRIS_313.8302	0
IRIS_313.11127	0
IRIS_313.10103	0
IRIS_313.11313	0
IRIS_313.9242	0
IRIS_313.11901	0
IRIS_313.12311	0
IRIS_313.10067	1
IRIS_313.10076	1
IRIS_313.10079	1
IRIS_313.10092	1
IRIS_313.10094	1
IRIS_313.10152	1
IRIS_313.10441	1
IRIS_313.10459	1
IRIS_313.10507	1
IRIS_313.10577	1
IRIS_313.10582	1
IRIS_313.10640	1
IRIS_313.10653	1
IRIS_313.10656	1
IRIS_313.10659	1
IRIS_313.10660	1
IRIS_313.10668	1
IRIS_313.10679	1
IRIS_313.10682	1
IRIS_313.10683	1
IRIS_313.10755	1
IRIS_313.10780	1
IRIS_313.10805	1
IRIS_313.10841	1
IRIS_313.10873	1
IRIS_313.10874	1
IRIS_313.10900	1
IRIS_313.10921	1
IRIS_313.10922	1
IRIS_313.10950	1
IRIS_313.10956	1
IRIS_313.11001	1
IRIS_313.11005	1
IRIS_313.11077	1
IRIS_313.11086	1
IRIS_313.11087	1
IRIS_313.11094	1
IRIS_313.11119	1
IRIS_313.11133	1
IRIS_313.11180	1
IRIS_313.11183	1
IRIS_313.11248	1
IRIS_313.11299	1
IRIS_313.11338	1
IRIS_313.11388	1
IRIS_313.11391	1
IRIS_313.11537	1
IRIS_313.11541	1
IRIS_313.11635	1
IRIS_313.11655	1
IRIS_313.11664	1
IRIS_313.11676	1
IRIS_313.11678	1
IRIS_313.11682	1
IRIS_313.11686	1
IRIS_313.11700	1
IRIS_313.11705	1
IRIS_313.11720	1
IRIS_313.11751	1
IRIS_313.11817	1
IRIS_313.11835	1
IRIS_313.11841	1
IRIS_313.11845	1
IRIS_313.11900	1
IRIS_313.11908	1
IRIS_313.11926	1
IRIS_313.11927	1
IRIS_313.11961	1
IRIS_313.11971	1
IRIS_313.11990	1
IRIS_313.12049	1
IRIS_313.12050	1
IRIS_313.12063	1
IRIS_313.12068	1
IRIS_313.12069	1
IRIS_313.12071	1
IRIS_313.12127	1
IRIS_313.12226	1
IRIS_313.12272	1
IRIS_313.12290	1
IRIS_313.12323	1
IRIS_313.12332	1
IRIS_313.12337	1
IRIS_313.8324	1
IRIS_313.8380	1
IRIS_313.8387	1
IRIS_313.8400	1
IRIS_313.8578	1
IRIS_313.8638	1
IRIS_313.8690	1
IRIS_313.8735	1
IRIS_313.8894	1
IRIS_313.9006	1
IRIS_313.9019	1
IRIS_313.9062	1
IRIS_313.9198	1
IRIS_313.9301	1
IRIS_313.9375	1
IRIS_313.9882	1
IRIS_313.9969	1
