SampleID	grain_length
IRIS_313-10000_IRIS_313-10000 8.2
IRIS_313-10001_IRIS_313-10001 9.6
IRIS_313-10002_IRIS_313-10002 7.8
IRIS_313-10007_IRIS_313-10007 9
IRIS_313-10010_IRIS_313-10010 8
IRIS_313-10014_IRIS_313-10014 9.1
IRIS_313-10016_IRIS_313-10016 10
IRIS_313-10020_IRIS_313-10020 7.9
IRIS_313-10025_IRIS_313-10025 7.7
IRIS_313-10026_IRIS_313-10026 8.3
IRIS_313-10030_IRIS_313-10030 9.8
IRIS_313-10032_IRIS_313-10032 8.7
IRIS_313-10034_IRIS_313-10034 10.7
IRIS_313-10035_IRIS_313-10035 9.3
IRIS_313-10040_IRIS_313-10040 7.5
IRIS_313-10041_IRIS_313-10041 9
IRIS_313-10045_IRIS_313-10045 9.3
IRIS_313-10046_IRIS_313-10046 8.5
IRIS_313-10047_IRIS_313-10047 8.1
IRIS_313-10048_IRIS_313-10048 10.6
IRIS_313-10050_IRIS_313-10050 10.1
IRIS_313-10051_IRIS_313-10051 8.5
IRIS_313-10054_IRIS_313-10054 10.4
IRIS_313-10056_IRIS_313-10056 7.5
IRIS_313-10057_IRIS_313-10057 7.8
IRIS_313-10059_IRIS_313-10059 7.5
IRIS_313-10061_IRIS_313-10061 12.7
IRIS_313-10062_IRIS_313-10062 10
IRIS_313-10065_IRIS_313-10065 8.5
IRIS_313-10067_IRIS_313-10067 9.3
IRIS_313-10071_IRIS_313-10071 8.4
IRIS_313-10073_IRIS_313-10073 8.3
IRIS_313-10074_IRIS_313-10074 7.8
IRIS_313-10075_IRIS_313-10075 8.5
IRIS_313-10076_IRIS_313-10076 8.1
IRIS_313-10077_IRIS_313-10077 7.9
IRIS_313-10078_IRIS_313-10078 9.1
IRIS_313-10079_IRIS_313-10079 9.4
IRIS_313-10080_IRIS_313-10080 8.4
IRIS_313-10082_IRIS_313-10082 8
IRIS_313-10083_IRIS_313-10083 9
IRIS_313-10084_IRIS_313-10084 8.4
IRIS_313-10089_IRIS_313-10089 7.6
IRIS_313-10092_IRIS_313-10092 7.2
IRIS_313-10093_IRIS_313-10093 6.6
IRIS_313-10094_IRIS_313-10094 8.5
IRIS_313-10096_IRIS_313-10096 7.8
IRIS_313-10097_IRIS_313-10097 7.1
IRIS_313-10099_IRIS_313-10099 8.4
IRIS_313-10102_IRIS_313-10102 9.1
IRIS_313-10103_IRIS_313-10103 8.4
IRIS_313-10109_IRIS_313-10109 10.2
IRIS_313-10111_IRIS_313-10111 9
IRIS_313-10113_IRIS_313-10113 8.9
IRIS_313-10114_IRIS_313-10114 8.5
IRIS_313-10119_IRIS_313-10119 9
IRIS_313-10129_IRIS_313-10129 8.2
IRIS_313-10134_IRIS_313-10134 9.8
IRIS_313-10148_IRIS_313-10148 8.7
IRIS_313-10150_IRIS_313-10150 8.5
IRIS_313-10151_IRIS_313-10151 10.5
IRIS_313-10152_IRIS_313-10152 9.8
IRIS_313-10154_IRIS_313-10154 8.5
IRIS_313-10158_IRIS_313-10158 10.2
IRIS_313-10161_IRIS_313-10161 9.8
IRIS_313-10164_IRIS_313-10164 7.4
IRIS_313-10167_IRIS_313-10167 9.3
IRIS_313-10168_IRIS_313-10168 8.9
IRIS_313-10170_IRIS_313-10170 8
IRIS_313-10171_IRIS_313-10171 8.9
IRIS_313-10176_IRIS_313-10176 9
IRIS_313-10177_IRIS_313-10177 7.6
IRIS_313-10178_IRIS_313-10178 8.5
IRIS_313-10179_IRIS_313-10179 8.4
IRIS_313-10189_IRIS_313-10189 7.4
IRIS_313-10190_IRIS_313-10190 7.8
IRIS_313-10191_IRIS_313-10191 8
IRIS_313-10211_IRIS_313-10211 8.1
IRIS_313-10220_IRIS_313-10220 9.4
IRIS_313-10221_IRIS_313-10221 7.7
IRIS_313-10224_IRIS_313-10224 8.6
IRIS_313-10226_IRIS_313-10226 9.2
IRIS_313-10228_IRIS_313-10228 6.6
IRIS_313-10234_IRIS_313-10234 8.9
IRIS_313-10235_IRIS_313-10235 10.1
IRIS_313-10238_IRIS_313-10238 8.9
IRIS_313-10239_IRIS_313-10239 8.8
IRIS_313-10242_IRIS_313-10242 9.8
IRIS_313-10247_IRIS_313-10247 9.7
IRIS_313-10257_IRIS_313-10257 9.5
IRIS_313-10258_IRIS_313-10258 10.2
IRIS_313-10260_IRIS_313-10260 9
IRIS_313-10263_IRIS_313-10263 9.7
IRIS_313-10268_IRIS_313-10268 10.1
IRIS_313-10271_IRIS_313-10271 9.7
IRIS_313-10272_IRIS_313-10272 8.5
IRIS_313-10274_IRIS_313-10274 8.7
IRIS_313-10275_IRIS_313-10275 9.4
IRIS_313-10279_IRIS_313-10279 10.3
IRIS_313-10285_IRIS_313-10285 9.7
IRIS_313-10287_IRIS_313-10287 9.4
IRIS_313-10289_IRIS_313-10289 9.4
IRIS_313-10290_IRIS_313-10290 8.8
IRIS_313-10293_IRIS_313-10293 9.9
IRIS_313-10294_IRIS_313-10294 8.9
IRIS_313-10295_IRIS_313-10295 9.5
IRIS_313-10298_IRIS_313-10298 9.6
IRIS_313-10300_IRIS_313-10300 9.2
IRIS_313-10301_IRIS_313-10301 10
IRIS_313-10307_IRIS_313-10307 9.3
IRIS_313-10314_IRIS_313-10314 9
IRIS_313-10318_IRIS_313-10318 11.2
IRIS_313-10325_IRIS_313-10325 10.8
IRIS_313-10332_IRIS_313-10332 8.5
IRIS_313-10333_IRIS_313-10333 7.7
IRIS_313-10334_IRIS_313-10334 7.9
IRIS_313-10337_IRIS_313-10337 8.4
IRIS_313-10340_IRIS_313-10340 8.4
IRIS_313-10341_IRIS_313-10341 8.1
IRIS_313-10348_IRIS_313-10348 8.1
IRIS_313-10349_IRIS_313-10349 9.9
IRIS_313-10352_IRIS_313-10352 9.1
IRIS_313-10353_IRIS_313-10353 8.2
IRIS_313-10355_IRIS_313-10355 8.2
IRIS_313-10357_IRIS_313-10357 9.6
IRIS_313-10359_IRIS_313-10359 8.6
IRIS_313-10360_IRIS_313-10360 9.4
IRIS_313-10361_IRIS_313-10361 8
IRIS_313-10366_IRIS_313-10366 9.1
IRIS_313-10371_IRIS_313-10371 8.9
IRIS_313-10373_IRIS_313-10373 7.1
IRIS_313-10374_IRIS_313-10374 8.4
IRIS_313-10375_IRIS_313-10375 8.4
IRIS_313-10379_IRIS_313-10379 6.9
IRIS_313-10380_IRIS_313-10380 7
IRIS_313-10385_IRIS_313-10385 9.7
IRIS_313-10392_IRIS_313-10392 9.2
IRIS_313-10394_IRIS_313-10394 8.7
IRIS_313-10396_IRIS_313-10396 8.8
IRIS_313-10397_IRIS_313-10397 10
IRIS_313-10398_IRIS_313-10398 9.7
IRIS_313-10399_IRIS_313-10399 7.8
IRIS_313-10400_IRIS_313-10400 9.1
IRIS_313-10401_IRIS_313-10401 9.9
IRIS_313-10402_IRIS_313-10402 8.8
IRIS_313-10403_IRIS_313-10403 9.2
IRIS_313-10404_IRIS_313-10404 8.3
IRIS_313-10412_IRIS_313-10412 7.5
IRIS_313-10417_IRIS_313-10417 8.8
IRIS_313-10421_IRIS_313-10421 8.5
IRIS_313-10423_IRIS_313-10423 8.6
IRIS_313-10429_IRIS_313-10429 7.1
IRIS_313-10430_IRIS_313-10430 7.3
IRIS_313-10433_IRIS_313-10433 8.8
IRIS_313-10437_IRIS_313-10437 7.6
IRIS_313-10440_IRIS_313-10440 7.2
IRIS_313-10441_IRIS_313-10441 9.3
IRIS_313-10444_IRIS_313-10444 10.4
IRIS_313-10448_IRIS_313-10448 8.2
IRIS_313-10449_IRIS_313-10449 8.2
IRIS_313-10450_IRIS_313-10450 7.6
IRIS_313-10452_IRIS_313-10452 7.7
IRIS_313-10453_IRIS_313-10453 7
IRIS_313-10458_IRIS_313-10458 7.8
IRIS_313-10469_IRIS_313-10469 7.5
IRIS_313-10476_IRIS_313-10476 8.1
IRIS_313-10477_IRIS_313-10477 8.4
