Supplementary Table S1:422 Curated Assembled Genome Collection											
File	Data Source	Source Category	Species	Total_length (bp)	Gap_Number	N Proportion	Contig_Sequences	Max_Scaffold (bp)	N50 (bp)	BUSCO	Telomere_Count
Basmati334.basmati.ragoo_scaffold.fa	https://zenodo.org/records/3355330/files/Basmati334.basmati.ragoo_scaffold.fa?download=1	Dataset	Oryza sativa	386050525	184	4.76622E-05	Unknown	Unknown	Unknown	Unknown	18
DomSufid.sadri.ragoo_scaffold.fa	https://zenodo.org/records/3355330/files/DomSufid.sadri.ragoo_scaffold.fa?download=1	Dataset	Oryza sativa	383245802	115	2.97485E-05	Unknown	Unknown	Unknown	Unknown	19
GCA_001623345.2_ZS97RS2_genomic.fna.gz	GCA_001623345.2	NCBI GenBank	Oryza_sativa	387326385	14	3.61E-06	0	44482313	31809223	99.9	18
GCA_001623365.1_MH63RS1_genomic.fna.gz	GCA_001623365.1	NCBI GenBank	Oryza_sativa	359937991	199	5.31E-05	2	41185095	29247213	93.3	0
GCA_001623365.2_MH63RS2_genomic.fna.gz	GCA_001623365.2	NCBI GenBank	Oryza_sativa	387424359	22	5.68E-06	0	44512328	31652805	99.6	9
GCA_001889745.1_Rice_IR8_v1.7_genomic.fna.gz	GCA_001889745.1	NCBI GenBank	Oryza_sativa	389088367	63	1.60E-05	3	44746683	32072649	99.8	13
GCA_001952365.2_ASM195236v2_genomic.fna.gz	GCA_001952365.2	NCBI GenBank	Oryza_sativa	372203259	924	0.000248251	400	44711178	29772976	98.8	3
GCA_001952365.3_OsN22RS2_genomic.fna.gz	GCA_001952365.3	NCBI GenBank	Oryza_sativa	388175468	34	8.76E-06	93	42787722	31706320	99.7	18
GCA_009829375.1_Os125827RS1_genomic.fna.gz	GCA_009829375.1	NCBI GenBank	Oryza_sativa	490154521	5	1.02E-06	563	44746243	30936521	99.7	12
GCA_009829395.1_Os127564RS1_genomic.fna.gz	GCA_009829395.1	NCBI GenBank	Oryza_sativa	405399143	5	1.23E-06	81	44959450	32421942	99.8	17
GCA_009829725.1_ASM982972v1_genomic.fna.gz	GCA_009829725.1	NCBI GenBank	Oryza_sativa	395946912	133	0.000167952	246	44624228	31697734	99.9	10
GCA_009830595.1_AzucenaRS1_genomic.fna.gz	GCA_009830595.1	NCBI GenBank	Oryza_sativa	381570127	16	4.19E-06	25	44011168	30954872	99.8	14
GCA_009831025.1_Os132424RS1_genomic.fna.gz	GCA_009831025.1	NCBI GenBank	Oryza_sativa	392847014	3	7.64E-07	13	44395019	31753752	99.8	Unknown
GCA_009831045.1_Os127742RS1_genomic.fna.gz	GCA_009831045.1	NCBI GenBank	Oryza_sativa	394601903	4	1.01E-06	28	44389110	32028703	99.9	18
GCA_009831255.1_Os117425RS1_genomic.fna.gz	GCA_009831255.1	NCBI GenBank	Oryza_sativa	380354188	28	7.36E-06	29	43678955	30566713	99.8	14
GCA_009831275.1_OS128077RS1_genomic.fna.gz	GCA_009831275.1	NCBI GenBank	Oryza_sativa	382007384	9	7.64E-07	13	43443826	30696581	99.8	16
GCA_009831295.1_Os127518RS1_genomic.fna.gz	GCA_009831295.1	NCBI GenBank	Oryza_sativa	399249348	7	1.75E-06	34	44762005	32080718	99.8	14
GCA_009831315.1_Os132278RS1_genomic.fna.gz	GCA_009831315.1	NCBI GenBank	Oryza_sativa	383243376	43	1.12E-05	69	44309235	30350168	99.9	12
GCA_009831355.1_Os125619RS1_genomic.fna.gz	GCA_009831355.1	NCBI GenBank	Oryza_sativa	391869645	4	0.0104862	13	44857821	32107744	99.7	15
GCA_011764405.1_ASM1176440v1_genomic.fna.gz	GCA_011764405.1	NCBI GenBank	Oryza_sativa	367109233	4473	0.0535871	1	41474693	27827038	97.5	7
GCA_011764405.2_ASM1176440v2_genomic.fna.gz	GCA_011764405.2	NCBI GenBank	Oryza_sativa	366593987	4400	0.052257	1390	41474693	25799894	97.5	7
GCA_019137765.1_ASM1913776v1_genomic.fna.gz	GCA_019137765.1	NCBI GenBank	Oryza_sativa	407497929	8	3.93E-06	77	44912454	33099520	99.9	20
GCA_022834795.1_KIT_r1.0.pmol_genomic.fna.gz	GCA_022834795.1	NCBI GenBank	Oryza_sativa	375082798	85	2.27E-05	0	43350222	30085288	99.8	19
GCA_030179975.1_ASM3017997v1_genomic.fna.gz	GCA_030179975.1	NCBI GenBank	Oryza_sativa	397461370	134	0.000214275	16	43809399	32014653	99.8	15
GCA_030179985.1_ASM3017998v1_genomic.fna.gz	GCA_030179985.1	NCBI GenBank	Oryza_sativa	394470216	156	4.93E-05	47	43855275	32144816	99.9	13
GCA_034818605.1_ASM3481860v1_genomic.fna.gz	GCA_034818605.1	NCBI GenBank	Oryza_sativa	399720017	0	0	0	44956652	32816747	99.9	21
GCA_037997075.1_ASM3799707v1_genomic.fa	GCA_037997075.1	NCBI GenBank	Oryza rufipogon	418789499	7	4.87E-07	Unknown	Unknown	Unknown	Unknown	22
GCA_039619365.1_ASM3961936v1_genomic.fa	GCA_039619365.1	NCBI GenBank	Oryza rufipogon	411081784	0	0	Unknown	Unknown	Unknown	Unknown	22
GCA_039619375.1_ASM3961937v1_genomic.fa	GCA_039619375.1	NCBI GenBank	Oryza rufipogon	411883275	2	2.42787E-07	Unknown	Unknown	Unknown	Unknown	15
GCA_040181785.1_HasawiRS1_genomic.fna.gz	GCA_040181785.1	NCBI GenBank	Oryza_sativa	391100432	9	2.30E-06	15	44688900	31876379	99.9	21
